ticker,volume,volumeWeightedAveragePrice,open,close,high,low,transactions,date
AMD,45760659.0,74.7766,75.85,74.7,76.3398,73.7573,319139.0,2020-11-02
AMD,41224110.0,76.2629,74.93,76.58,77.08,74.0,280663.0,2020-11-03
AMD,66579711.0,80.6795,80.25,81.0,81.0,78.975,477247.0,2020-11-04
AMD,46542267.0,82.6062,83.0,83.0,83.5,81.85,344289.0,2020-11-05
AMD,53755836.0,84.7168,83.52,85.88,86.09,82.67,387614.0,2020-11-06
AMD,58535684.0,85.0198,84.24,83.12,87.05,82.77,475030.0,2020-11-09
AMD,67137196.0,78.8995,81.93,77.99,82.13,77.63,559484.0,2020-11-10
AMD,44611250.0,80.2378,79.39,81.28,81.47,78.97,307290.0,2020-11-11
AMD,37303106.0,81.8967,81.32,81.84,83.0,80.3,278446.0,2020-11-12
AMD,30448461.0,81.6873,82.0,81.43,83.11,80.7,232716.0,2020-11-13
AMD,38640842.0,82.7936,81.21,83.73,83.78,80.48,242240.0,2020-11-16
AMD,29473512.0,83.6246,83.9298,83.36,84.81,82.91,211462.0,2020-11-17
AMD,29967958.0,83.1258,83.0135,82.54,83.955,82.22,208095.0,2020-11-18
AMD,50116759.0,84.3769,82.39,85.54,85.64,81.72,339887.0,2020-11-19
AMD,35008427.0,85.1551,85.28,84.64,86.1,84.47,240596.0,2020-11-20
AMD,46504964.0,86.0894,85.52,85.31,87.54,84.615,299864.0,2020-11-23
AMD,36839174.0,84.6013,85.7235,85.07,86.11,83.32,247132.0,2020-11-24
AMD,41349727.0,86.7819,85.76,86.71,87.84,85.52,228915.0,2020-11-25
AMD,22717638.0,87.1464,87.99,87.19,88.0,86.3598,129452.0,2020-11-27
AMD,84482979.0,90.523,87.33,92.66,92.0,86.53,524270.0,2020-11-30
AMD,58595527.0,92.5241,92.25,92.63,93.9,90.78,392289.0,2020-12-01
AMD,57988822.0,94.6792,92.89,93.74,96.37,92.5253,394807.0,2020-12-02
AMD,35859716.0,92.7446,94.06,92.31,94.7,92.01,260259.0,2020-12-03
AMD,44570273.0,93.2309,92.58,94.04,94.58,90.63,275715.0,2020-12-04
AMD,39215654.0,93.7102,94.95,94.07,95.0,92.97,273084.0,2020-12-07
AMD,33907510.0,92.908,94.05,92.92,94.74,91.9,248435.0,2020-12-08
AMD,52170379.0,91.7786,92.76,89.83,94.7,89.16,359445.0,2020-12-09
AMD,33804212.0,91.2408,89.55,91.66,92.09,89.0297,229409.0,2020-12-10
AMD,28368145.0,91.3192,91.0,91.65,92.33,90.16,197337.0,2020-12-11
AMD,48026426.0,93.9617,92.205,94.78,95.41,91.85,315037.0,2020-12-14
AMD,57305100.0,96.9517,95.93,97.12,97.98,95.45,378492.0,2020-12-15
AMD,34909037.0,96.4675,97.04,96.85,97.27,95.46,225707.0,2020-12-16
AMD,31823734.0,96.8706,97.55,96.84,97.92,96.25,223344.0,2020-12-17
AMD,51823103.0,96.2685,97.27,95.92,97.68,93.56,283275.0,2020-12-18
AMD,47093891.0,92.8315,94.25,93.23,95.28,91.08,343130.0,2020-12-21
AMD,35665336.0,92.2591,93.36,93.16,93.55,90.53,266961.0,2020-12-22
AMD,25993348.0,92.0314,93.08,91.55,93.13,91.46,195915.0,2020-12-23
AMD,16705909.0,91.9007,91.8,91.81,92.51,91.31,121839.0,2020-12-24
AMD,30627297.0,91.9904,92.93,91.6,93.14,90.82,228807.0,2020-12-28
AMD,31748211.0,90.6392,91.66,90.62,92.46,89.4301,248032.0,2020-12-29
AMD,25844973.0,91.7675,90.78,92.29,92.85,90.19,188870.0,2020-12-30
AMD,24930684.0,91.4441,92.1,91.71,92.3,90.87,178845.0,2020-12-31
AMD,51802552.0,93.0982,92.11,92.3,96.06,90.915,381393.0,2021-01-04
AMD,34207989.0,92.2808,92.1,92.77,93.2077,91.41,251407.0,2021-01-05
AMD,51911657.0,90.9534,91.62,90.33,92.28,89.46,390208.0,2021-01-06
AMD,42849157.0,94.2308,91.33,95.16,95.51,91.2,320947.0,2021-01-07
AMD,39816400.0,94.4234,95.0,94.58,96.4,93.27,310867.0,2021-01-08
AMD,48669103.0,97.6402,94.025,97.25,99.23,93.76,361139.0,2021-01-11
AMD,67672311.0,96.0307,97.86,95.355,98.97,94.07,416608.0,2021-01-12
AMD,60712896.0,91.9906,93.01,91.78,93.89,90.84,471424.0,2021-01-13
AMD,53408241.0,91.0823,91.77,90.79,92.36,90.45,399608.0,2021-01-14
AMD,49340338.0,89.3106,90.75,88.21,91.59,87.86,366773.0,2021-01-15
AMD,44214605.0,88.5621,89.56,89.45,89.58,87.24,334755.0,2021-01-19
AMD,35185810.0,89.3728,90.55,88.75,90.78,88.6,260945.0,2021-01-20
AMD,54596079.0,90.7006,89.34,91.53,92.07,88.43,354656.0,2021-01-21
AMD,71294607.0,93.4671,94.42,92.79,95.95,91.88,467200.0,2021-01-22
AMD,55086943.0,93.9471,94.14,94.13,95.74,91.4,403108.0,2021-01-25
AMD,59424653.0,94.9831,94.91,94.71,95.7171,93.63,436619.0,2021-01-26
AMD,73337493.0,89.4944,91.1,88.84,91.88,86.22,691370.0,2021-01-27
AMD,47048362.0,88.2295,89.83,87.52,89.88,87.3,450099.0,2021-01-28
AMD,56735828.0,86.4402,87.56,85.64,88.33,85.02,522740.0,2021-01-29
AMD,42359344.0,86.3552,86.83,87.66,87.95,84.66,396521.0,2021-02-01
AMD,33849979.0,88.1586,88.49,88.86,89.28,86.95,308400.0,2021-02-02
AMD,31812885.0,88.0871,88.6,87.89,89.48,87.34,275913.0,2021-02-03
AMD,30773241.0,87.7849,88.22,87.84,88.6,87.06,242557.0,2021-02-04
AMD,30246177.0,87.8028,88.15,87.9,88.36,86.875,239464.0,2021-02-05
AMD,47639887.0,90.6525,88.31,91.47,91.99,87.98,347855.0,2021-02-08
AMD,37396446.0,91.3897,91.39,90.91,93.3,90.55,288935.0,2021-02-09
AMD,42441300.0,92.1316,91.5,92.35,93.27,90.46,304989.0,2021-02-10
AMD,35571025.0,92.3777,92.9,92.66,93.65,91.33,238663.0,2021-02-11
AMD,38538353.0,93.3316,92.75,93.77,94.22,91.9,233791.0,2021-02-12
AMD,35105917.0,92.0399,93.9,91.46,94.0,90.0,265754.0,2021-02-16
AMD,32284075.0,89.7442,90.56,89.94,90.96,88.5701,249984.0,2021-02-17
AMD,35624948.0,88.3226,89.09,88.64,89.6,87.31,245003.0,2021-02-18
AMD,29548273.0,89.5865,89.75,89.58,90.4163,88.69,200024.0,2021-02-19
AMD,36930182.0,86.8596,88.15,85.37,88.3,85.21,295437.0,2021-02-22
AMD,49687314.0,82.8606,83.4,84.74,85.11,79.36,421598.0,2021-02-23
AMD,40821150.0,85.0549,84.33,86.94,87.09,82.81,312458.0,2021-02-24
AMD,54625140.0,83.8798,86.17,82.42,87.09,81.92,428235.0,2021-02-25
AMD,48958972.0,84.4834,83.565,84.51,85.59,82.91,359358.0,2021-02-26
AMD,32453631.0,85.4643,85.365,86.39,86.5,83.97,237589.0,2021-03-01
AMD,34828157.0,85.4821,86.92,84.13,86.95,84.04,229507.0,2021-03-02
AMD,43541041.0,82.3414,84.28,80.86,84.38,80.85,335572.0,2021-03-03
AMD,60549371.0,78.8065,80.23,77.75,81.8067,76.78,512138.0,2021-03-04
AMD,58188912.0,77.1444,79.0,78.52,79.48,74.2,495542.0,2021-03-05
AMD,54563874.0,76.1281,78.03,73.96,79.0,73.86,434241.0,2021-03-08
AMD,45088336.0,77.7654,76.73,78.53,79.0,75.0,335198.0,2021-03-09
AMD,45416616.0,78.3944,79.75,77.52,80.04,77.41,335314.0,2021-03-10
AMD,43568419.0,80.8723,79.4,81.23,81.89,79.37,325977.0,2021-03-11
AMD,32937950.0,80.5361,79.73,81.05,81.19,79.23,232500.0,2021-03-12
AMD,39355424.0,82.4008,81.91,82.5,83.39,81.2,281116.0,2021-03-15
AMD,42971552.0,83.6592,83.66,82.75,84.75,82.255,300674.0,2021-03-16
AMD,43320573.0,81.758,81.75,82.63,83.25,80.411,313565.0,2021-03-17
AMD,51036502.0,79.5317,81.055,78.12,81.62,78.01,400333.0,2021-03-18
